loss,key,optimizer,epoch,dense,neuron,score
mean_absolute_error,1,Adam,30,4,64,0.4056393598330036
mean_absolute_error,1,Adam,30,4,128,0.8197821215337594
mean_absolute_error,1,Adam,30,5,64,0.4711972697003667
mean_absolute_error,1,Adam,30,5,128,0.7954650723530772
mean_absolute_error,1,Adam,30,6,64,0.20405925747676923
mean_absolute_error,1,Adam,30,6,128,0.17336857182749255
mean_absolute_error,1,Adam,40,3,64,0.43668777200595943
mean_absolute_error,1,Adam,40,3,128,0.6592697579897764
mean_absolute_error,1,Adam,40,4,64,0.6404080684558207
mean_absolute_error,1,Adam,40,4,128,0.7721633602482831
mean_absolute_error,1,Adam,40,5,64,0.5195124240163386
mean_absolute_error,1,Adam,40,5,128,0.7854645082583269
mean_absolute_error,1,Adam,40,6,64,-0.13534353471954486
mean_absolute_error,1,Adam,40,6,128,0.8341793616352323
mean_absolute_error,1,Adam,50,3,64,0.5933499158725049
mean_absolute_error,1,Adam,50,3,128,0.6823318857659897
mean_absolute_error,1,Adam,50,4,64,0.7447043580778834
mean_absolute_error,1,Adam,50,4,128,0.8059254443651838
mean_absolute_error,1,Adam,50,5,64,0.8031254778682242
mean_absolute_error,1,Adam,50,5,128,0.9304472411074511
mean_absolute_error,1,Adam,50,6,64,0.8658559096211581
mean_absolute_error,1,Adam,50,6,128,0.9021629961813279
mean_absolute_error,1,Adam,60,3,64,0.775221602981857
mean_absolute_error,1,Adam,60,3,128,0.8457584730022647
mean_absolute_error,1,Adam,60,4,64,0.6482349802618903
mean_absolute_error,1,Adam,60,4,128,0.8408405903324925
mean_absolute_error,1,Adam,60,5,64,0.8075988392638853
mean_absolute_error,1,Adam,60,5,128,0.9473841353386738
mean_absolute_error,1,Adam,60,6,64,0.741094769766347
mean_absolute_error,1,Adam,60,6,128,0.8882089046032495
mean_absolute_error,1,Adadelta,30,3,64,-12.416528640805481
mean_absolute_error,1,Adadelta,30,3,128,-12.750770943622976
mean_absolute_error,1,Adadelta,30,4,64,-12.709305902998809
mean_absolute_error,1,Adadelta,30,4,128,-12.507252854415782
mean_absolute_error,1,Adadelta,30,5,64,-12.259961478840445
mean_absolute_error,1,Adadelta,30,5,128,-12.405833889826564
mean_absolute_error,1,Adadelta,30,6,64,-12.396789812360383
mean_absolute_error,1,Adadelta,30,6,128,-12.177502301981965
mean_absolute_error,1,Adadelta,40,3,64,-13.22400983659589
mean_absolute_error,1,Adadelta,40,3,128,-12.43036417853572
mean_absolute_error,1,Adadelta,40,4,64,-12.241579610031785
mean_absolute_error,1,Adadelta,40,4,128,-12.362633373404257
mean_absolute_error,1,Adadelta,40,5,64,-12.242127972995995
mean_absolute_error,1,Adadelta,40,5,128,-12.662089646047702
mean_absolute_error,1,Adadelta,40,6,64,-12.193382110385434
mean_absolute_error,1,Adadelta,40,6,128,-12.400315330687679
mean_absolute_error,1,Adadelta,50,3,64,-12.266059932156987
mean_absolute_error,1,Adadelta,50,3,128,-12.387020205771867
mean_absolute_error,1,Adadelta,50,4,64,-13.199817707970109
mean_absolute_error,1,Adadelta,50,4,128,-12.390085950011752
mean_absolute_error,1,Adadelta,50,5,64,-12.239994945563746
mean_absolute_error,1,Adadelta,50,5,128,-12.078898326193103
mean_absolute_error,1,Adadelta,50,6,64,-12.489204503099096
mean_absolute_error,1,Adadelta,50,6,128,-12.420407528178588
mean_absolute_error,1,Adadelta,60,3,64,-13.162437961701151
mean_absolute_error,1,Adadelta,60,3,128,-12.436013341227625
mean_absolute_error,1,Adadelta,60,4,64,-12.802676698552244
mean_absolute_error,1,Adadelta,60,4,128,-12.281911165117155
mean_absolute_error,1,Adadelta,60,5,64,-12.604804994330317
mean_absolute_error,1,Adadelta,60,5,128,-12.08426536412426
mean_absolute_error,1,Adadelta,60,6,64,-12.532068597497897
mean_absolute_error,1,Adadelta,60,6,128,-12.457225882772882
mean_absolute_error,1,Adagrad,30,3,64,-10.663140649177286
mean_absolute_error,1,Adagrad,30,3,128,-10.004550657736766
mean_absolute_error,1,Adagrad,30,4,64,-9.368134688993493
mean_absolute_error,1,Adagrad,30,4,128,-7.774911974022155
mean_absolute_error,1,Adagrad,30,5,64,-10.522970855698961
mean_absolute_error,1,Adagrad,30,5,128,-9.52232192954381
mean_absolute_error,1,Adagrad,30,6,64,-10.329980928701918
mean_absolute_error,1,Adagrad,30,6,128,-11.064870763312635
mean_absolute_error,1,Adagrad,40,3,64,-8.321089101966123
mean_absolute_error,1,Adagrad,40,3,128,-9.941057327996838
mean_absolute_error,1,Adagrad,40,4,64,-9.153967820545281
mean_absolute_error,1,Adagrad,40,4,128,-4.8655080561103885
mean_absolute_error,1,Adagrad,40,5,64,-9.891613278887572
mean_absolute_error,1,Adagrad,40,5,128,-6.074926726677232
mean_absolute_error,1,Adagrad,40,6,64,-4.4203599699374845
mean_absolute_error,1,Adagrad,40,6,128,-6.120400912977016
mean_absolute_error,1,Adagrad,50,3,64,-7.9336775332564375
mean_absolute_error,1,Adagrad,50,3,128,-7.859966226712764
mean_absolute_error,1,Adagrad,50,4,64,-6.137391222829571
mean_absolute_error,1,Adagrad,50,4,128,-2.864550860795993
mean_absolute_error,1,Adagrad,50,5,64,-4.485786075055946
mean_absolute_error,1,Adagrad,50,5,128,-0.8962238683121186
mean_absolute_error,1,Adagrad,50,6,64,-8.472218972203004
mean_absolute_error,1,Adagrad,50,6,128,-1.5471538160994238
mean_absolute_error,1,Adagrad,60,3,64,-6.681090304981961
mean_absolute_error,1,Adagrad,60,3,128,-2.4275295547763043
mean_absolute_error,1,Adagrad,60,4,64,-3.3149738709135015
mean_absolute_error,1,Adagrad,60,4,128,-2.0851268301289174
mean_absolute_error,1,Adagrad,60,5,64,-1.9902271363958217
mean_absolute_error,1,Adagrad,60,5,128,-0.46902817679231923
mean_absolute_error,1,Adagrad,60,6,64,-2.8743640864705196
mean_absolute_error,1,Adagrad,60,6,128,-0.54879244403896
mean_absolute_error,1,Adamax,30,3,64,-0.17662898114790893
mean_absolute_error,1,Adamax,30,3,128,0.13292250423731755
mean_absolute_error,1,Adamax,30,4,64,0.4034920277442431
mean_absolute_error,1,Adamax,30,4,128,0.483986430308635
mean_absolute_error,1,Adamax,30,5,64,-1.0706881118201461
mean_absolute_error,1,Adamax,30,5,128,0.5960581090697988
mean_absolute_error,1,Adamax,30,6,64,-2.2735098706680867
mean_absolute_error,1,Adamax,30,6,128,0.7781527414280194
mean_absolute_error,1,Adamax,40,3,64,-0.0649823065185795
mean_absolute_error,1,Adamax,40,3,128,0.4813921691499571
mean_absolute_error,1,Adamax,40,4,64,0.4821662008630536
mean_absolute_error,1,Adamax,40,4,128,0.7371168258780312
mean_absolute_error,1,Adamax,40,5,64,0.1498810505447442
mean_absolute_error,1,Adamax,40,5,128,0.7228603398180216
mean_absolute_error,1,Adamax,40,6,64,0.7062375048800771
mean_absolute_error,1,Adamax,40,6,128,0.8579147021607254
mean_absolute_error,1,Adamax,50,3,64,0.451771784678782
mean_absolute_error,1,Adamax,50,3,128,0.6530966437318751
mean_absolute_error,1,Adamax,50,4,64,0.5205099939104874
mean_absolute_error,1,Adamax,50,4,128,0.9031140292924185
mean_absolute_error,1,Adamax,50,5,64,0.31745935755654897
mean_absolute_error,1,Adamax,50,5,128,0.8364994231919068
